Initial data:
  # | Name                          | Age | Salary
----+-------------------------------+-----+----------
  1 | Heather Campbell              |  86 |  1178.82
  2 | Stacey Brown                  |  91 |  4736.19
  3 | Michael Jackson               | 108 |  2012.86
  4 | Karen Walsh                   | 110 |  3818.07
  5 | Tamara Miller                 |  29 |  2919.01
  6 | Nicholas Johnson              |  27 |  4487.29
  7 | Cristina Pearson              |  93 |  2990.88
  8 | Peter Valenzuela              |  52 |  2269.32
  9 | Jessica Douglas               |  25 |  1980.22
 10 | Gregory Wells                 | 101 |  1403.49
 11 | Tiffany Ponce                 |  25 |  3079.72
 12 | Gwendolyn Lee                 |  87 |  2530.03
 13 | Matthew Hayes                 |  99 |  2741.09
 14 | Charles Young                 | 109 |  4778.25
 15 | Natalie Parker                | 110 |  2605.44
 16 | Daniel Mcdowell               |  68 |  4460.75
 17 | Jonathan Bennett              | 100 |  4104.45
 18 | Donald Bautista               |  92 |   167.15
 19 | Justin Morales                |  59 |  2516.82
 20 | Pamela Campbell               |  58 |  3329.59
 21 | Sherry Ferguson               |  91 |   684.73
 22 | Victoria Garcia               |  37 |  4767.01
 23 | Kevin Williams                |  31 |  3548.04
 24 | Kristine Young MD             |  30 |  1226.34
 25 | Jennifer Matthews             |  82 |  3368.92
 26 | Thomas Martin                 |  49 |  3072.44
 27 | Heather Watts                 |  87 |   479.49
 28 | David Bowman                  |  57 |  2038.83
 29 | Jose Perry                    |  92 |  1771.78
 30 | Bonnie Patton                 |  91 |  2535.59
 31 | Kevin Smith                   |  43 |  4243.94
 32 | Juan Hayes                    |  27 |  4983.03

Results:
  # | Name                          | Age | Salary   | Hash
----+-------------------------------+-----+----------+------------------------------------------------------------------------------------------
  1 | Bonnie Patton                 |  91 |  2535.59 | OQVxBH4Ib1xK3CbQKzP_MNlWiB1G0m_0fFUUspsysl6WWuGDhVaFfwHwJBFbJmDHXId29hz5Bt8e_YsCUBvGJg==
  2 | Charles Young                 | 109 |  4778.25 | JzDqRJwIEKme1TytkrzzkSeOw12RkE4AcFCjSW6n2wBGwXk2fLIezG9SEeKO6-xcDAIon5gqa-MzBu1PgqXz2A==
  3 | Cristina Pearson              |  93 |  2990.88 | JI_VsgWpHbWMHZ4jQnMQu_u_0c3sGLCQJC94qEVhnBpO8QYiCpMOkVZIARTd_uAZU9Qbv5DtKVBWCocMWs47DQ==
  4 | Daniel Mcdowell               |  68 |  4460.75 | KKh1jzo3HUSZTZxJLbdf5luF7CQigdSc2AGuS5k4fTnHO5bKcSd-oOgvjGRNzD8nQU2GiqGp__zQ484XnSfn1Q==
  5 | David Bowman                  |  57 |  2038.83 | O0WXs6NgaLw3-6KZGz572zC0uEz5sHixRyIUUw1W1wA5bzUhPO8Nnl-ZZGmuxUAke5onyZxfysDA-V_jN7jPSQ==
  6 | Donald Bautista               |  92 |   167.15 | -a1xfSMN1pccyI8U49kFa995V44YVRGgPGvTmM9b5ARCzash4n2DYEpp0yR3Ew7_BMhcgQD8Dmazo4KhdGX1fg==
  7 | Gregory Wells                 | 101 |  1403.49 | M-nKlepYBaIpukBzeJrz7D0MRFedGSXR9IDngUn3fjcyvuLOfwU9GioKNKd3vX2oV659re_FV9Jf8XZkjwN2EQ==
  8 | Gwendolyn Lee                 |  87 |  2530.03 | c3niVdXlP7v-M1Ia4SGhaCEjhdnJ_4h8Eq5uaxrCB3Dqfb1GUm4vd2qlJWFQMa-i9JBJv3y9jfbysxa2tjh02w==
  9 | Heather Campbell              |  86 |  1178.82 | LGCpQaUvqgxeJBzUrO54EG5A2HOl8gYjXcSuCUPnRExbUwSiym-kTxgbv5jsFArL7-n1UMg5YB9EEigwNsvhHg==
 10 | Heather Watts                 |  87 |   479.49 | Ap1Fh3FRn_9pdhcl-sRKImPR2B9r-uiNavj8shO427-jFUxJ3EaPyQOLmBrvzCIalHfhPNmHKpa3ez3VBI4agw==
